link,link_text,page
https://discord.gg/38qHCZ8wa8,CLICK HERE FOR   Discord Access (Direct Message me ON DISCORD AFTER you accept the invite to gain FULL ACCESS),2
https://youtube.com/shorts/fWg0cMDTpyY?feature=share,Do me a favor do this exercise real quick and try to slouch your shoulders after:  Wall Drags,4
,,5
,,5
,,5
,,5
,,5
,,5
,,5
,,5
,,5
,,5
,,5
https://youtu.be/V-jLJO_PlEg?si=ylZml6gdCcUXYV5Q,,7
https://youtu.be/V-jLJO_PlEg?si=ylZml6gdCcUXYV5Q,,7
https://youtube.com/shorts/P6ZJcShe0dI?feature=share,EXERCISE EXAMPLES FOR UPPER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Farmer Carries + Shrugs,12
https://youtube.com/shorts/P6ZJcShe0dI?feature=share,EXERCISE EXAMPLES FOR UPPER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Farmer Carries + Shrugs,12
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLES FOR MIDDLE TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL),13
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLES FOR MIDDLE TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Standing Reverse Incline Flyes,13
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLES FOR MIDDLE TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Standing Reverse Incline Flyes,13
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLES FOR LOWER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL),13
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,EXERCISE EXAMPLES FOR LOWER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Superman’s,13
https://youtube.com/shorts/bF6RBE1Gmds?si=njGNvKUPflX6Svmh,EXERCISE EXAMPLES FOR LOWER TRAPS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Superman’s,13
https://youtube.com/shorts/1Dacowkc5cM?feature=share,EXAMPLE EXERCISE FOR THE REAR DELTS: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Reverse Pec Dec Flyes,15
https://youtube.com/shorts/SIdGGmExFfQ?feature=share,THE 3 EXERCISES FOR COMPLETE ROTATOR CUFF WORK: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Facepulls 1. Dumbbell Shoulder External Rotations 2.,18
https://youtube.com/shorts/SIdGGmExFfQ?feature=share,THE 3 EXERCISES FOR COMPLETE ROTATOR CUFF WORK: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Facepulls 1. Dumbbell Shoulder External Rotations 2.,18
https://youtube.com/shorts/cRHi3xXcfww?si=2zqR5g6PZ6qjy2GW,Facepulls 1. Dumbbell Shoulder External Rotations 2. LU Raises 3.,18
https://youtube.com/shorts/urTKOW7z-B4?si=RsuqKK741NDnGohf,Dumbbell Shoulder External Rotations 2. LU Raises 3.,18
https://youtube.com/shorts/IHxsX2HkRyY?feature=share,EXAMPLE EXERCISE FOR THE TERES MINOR: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Regular Lat Pulldowns,19
https://youtube.com/shorts/lcxvcfcXYHs?feature=share,EXERCISE EXAMPLE FOR THE RHOMBOIDS: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) T-Bar Rows (Compound) Turtle Raises (Isolation),21
https://youtube.com/shorts/flhz5dtmqo4?feature=share,T-Bar Rows (Compound) Turtle Raises (Isolation),21
https://youtube.com/shorts/AXbpcPCz_DE?feature=share,EXAMPLE EXERCISE FOR ERECTOR SPINAE: (CLICK EXERCISE FOR A VIDEO TUTORIAL) Hyperextension Rows,23
https://youtube.com/shorts/TjIeXY_zr8s?si=RIcsWh_RptoJKzn7,EXERCISE EXAMPLES FOR THE LATS: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Close Grip Pull-Ups (Compound Movement) Lat Pull Ins (Isolation Exercise),24
https://youtube.com/shorts/ydwdsNg0nw0?feature=share,Close Grip Pull-Ups (Compound Movement) Lat Pull Ins (Isolation Exercise),24
https://youtube.com/shorts/x69X23j0dw0?feature=share,Below are a list of exercises that’ll help strengthen those weaker areas in the back: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Chest supported shrugs Standing Reverse Incline Flyes Seated Reverse Incline Flyes Y Raises Facepulls Upper Back Rows,38
https://youtube.com/shorts/x69X23j0dw0?feature=share,Below are a list of exercises that’ll help strengthen those weaker areas in the back: (CLICK EACH EXERCISE FOR A VIDEO TUTORIAL) Chest supported shrugs Standing Reverse Incline Flyes Seated Reverse Incline Flyes Y Raises Facepulls Upper Back Rows,38
https://youtube.com/shorts/6vrlwEdrkTA?si=ujeeGkVESneRpR9h,Chest supported shrugs Standing Reverse Incline Flyes Seated Reverse Incline Flyes Y Raises Facepulls Upper Back Rows,38
https://youtube.com/shorts/GLMF-XQFWx8?feature=share,Chest supported shrugs Standing Reverse Incline Flyes Seated Reverse Incline Flyes Y Raises Facepulls Upper Back Rows,38
