Exercise ID,Exercise Name,YouTube URL,Video ID,Expected CDN URL,CDN Exists,Status
shoulder_21s,"21’s (Shoulder)",https://youtube.com/shorts/YnxTOnuEwUw?feature=share,YnxTOnuEwUw,https://unclerommy.b-cdn.net/YnxTOnuEwUw.mp4,YES,CDN OK
active_hangs,"Active Hangs",https://youtube.com/shorts/QSy3l2Omekw?feature=share,QSy3l2Omekw,https://unclerommy.b-cdn.net/QSy3l2Omekw.mp4,YES,CDN OK
arnold_press,"Arnold Press",https://www.youtube.com/shorts/QUhUm-TfzGw,QUhUm-TfzGw,https://unclerommy.b-cdn.net/QUhUm-TfzGw.mp4,YES,CDN OK
back_bridges,"Back Bridges",https://youtube.com/shorts/RZc7amGOI7E?feature=share,RZc7amGOI7E,https://unclerommy.b-cdn.net/RZc7amGOI7E.mp4,NO,CDN MISSING
backward_treadmill_walk,"Backward Walking on the Treadmill",https://youtube.com/shorts/ybtXXzTnj4w?feature=share,ybtXXzTnj4w,https://unclerommy.b-cdn.net/ybtXXzTnj4w.mp4,YES,CDN OK
barbell_good_mornings,"Barbell Good Mornings",https://youtube.com/shorts/yVktQUdY4zs?feature=share,yVktQUdY4zs,https://unclerommy.b-cdn.net/yVktQUdY4zs.mp4,NO,CDN MISSING
barbell_hip_thrusts,"Barbell Hip Thrusts",https://youtube.com/shorts/d0wZXa55gIc?feature=share,d0wZXa55gIc,https://unclerommy.b-cdn.net/d0wZXa55gIc.mp4,NO,CDN MISSING
barbell_split_squats,"Barbell Split Squats",https://youtube.com/shorts/CczP0LkqDWk?si=tb_p1DYOHPyVfFD3,CczP0LkqDWk,https://unclerommy.b-cdn.net/CczP0LkqDWk.mp4,YES,CDN OK
barbell_ez_bar_curl,"Barbell/EZ Bar Curl",https://youtube.com/shorts/b-npw5oLoJA?feature=share,b-npw5oLoJA,https://unclerommy.b-cdn.net/b-npw5oLoJA.mp4,YES,CDN OK
barbell_ezbar_pullovers,"Barbell/EZ Bar Pullovers",https://youtube.com/shorts/f1LjQ3rYeNg?feature=share,f1LjQ3rYeNg,https://unclerommy.b-cdn.net/f1LjQ3rYeNg.mp4,NO,CDN MISSING
behind_ass_lateral_raises,"Behind Ass Lateral Raises",https://youtube.com/shorts/Q2M9M4Ya6wg?feature=share,Q2M9M4Ya6wg,https://unclerommy.b-cdn.net/Q2M9M4Ya6wg.mp4,YES,CDN OK
behind_neck_press,"Behind Neck Press",https://youtube.com/shorts/ax2tv9la8MQ?feature=share,ax2tv9la8MQ,https://unclerommy.b-cdn.net/ax2tv9la8MQ.mp4,YES,CDN OK
behind_ankle_barbell_raise,"Behind the Ankle Barbell Raise",https://youtube.com/shorts/i1uyE4sLRuQ?si=iofn6DLHiH3IRdWy,i1uyE4sLRuQ,https://unclerommy.b-cdn.net/i1uyE4sLRuQ.mp4,YES,CDN OK
behind_arse_bar_raise,"Behind the Arse Bar Raise",https://youtube.com/shorts/0d3zYwcuXlo?si=bhs3o-2c2S8_MloF,0d3zYwcuXlo,https://unclerommy.b-cdn.net/0d3zYwcuXlo.mp4,NO,CDN MISSING
behind_arse_cable_upright_rows,"Behind the Arse Cable Upright Rows (Straight Bar Attachment)",https://youtube.com/shorts/3MCe-np6VoM?si=TLilOBPAuMYZXUYK,3MCe-np6VoM,https://unclerommy.b-cdn.net/3MCe-np6VoM.mp4,YES,CDN OK
